,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
Г,,"0,7","0,8","1,3","0,6",1,"0,8",,,
Ford                      Fiesta Rallycross Pikes Peak,,550,620,235,"2,9",110,41,класс   E          хэтчбек               США                    10                              5                        автоспорт                                 widow maker,44 500 /,1
В,,"0,9",1,"1,4","0,9","1,2",1,,,
,дельта,,,,,,,,,
Renault	   Megane,,116,190,190,"10,9",84,36,класс  B            хэтчбек                 Франция                       10                           1,6700 /,5
У,,"0,8","0,8","0,9","1,9","0,8",1,,,
Renault	    Twingo RS,,133,160,201,"8,7",88,26,класс B             хэтчбек                 Франция                       10                          2                          hot hatch,8000 /,4
Г,,"0,8","0,8","0,7","1,8",1,"0,7",,,
Ford    	Mustang,,210,325,223,"7,3",92,30,класс  C            купе                 США                       10                          2                   muscle car,14 900 /,4
Г,,"1,3","1,5","1,4","1,7","0,8","0,8",,,
Renault	          Clio R3,,200,214,215,"6,8",100,23,класс  B            хэтчбек                 Франция                       10                            4                        hot hatch                автоспорт,15 000 /,2
Г,,1,1,1,"1,5",1,"0,7",,,
Porsche	Panamera,,300,400,261,"6,8",94,30,класс  C            хэтчбек              Германия                     10                            2                        комфорт,21 000 /,4
У,,"1,1","1,2","1,2","1,5","0,8","0,8",,,
Porsche                    911,,345,390,287,"4,7",115,28,класс  D            купе                Германия                       10                          3,22 000 /,3
Г,,1,"1,1","1,3","1,1","1,2","0,7",,,
Porsche	         911 GT3  RS,,415,405,310,"4,2",131,20,класс  E            купе               Германия                  10                              3,28 500 /,3
Г,,"1,1","1,2","1,4","1,1","1,5","0,6",,,
Ford	            Shelby GT500 SVT,,550,692,308,4,93,28,класс  E            купе               США                    10                              3                         muscle car                            widow maker,28 900 /,3
Г,,"1,2","1,4","1,3","0,9","1,2","0,8",,,
Renault	Megane Trophy BTCS,,320,299,255,"3,8",128,10,класс  D           хэтчбек               Франция                  10                              5                        автоспорт,36 000 /,1
С,,"0,9","1,2","1,5",1,"1,4","0,6",,,
Ferrari	               599 GTO,,670,620,335,"3,35",129,22,класс  R            купе               Италия                     10                              3,38 000 /,3
Г,,"1,1",1,"1,5",1,"1,4","0,7",,,
Ferrari	            599 XX,,730,686,315,3,150,15,класс  S            купе               Италия                     10                             4                           автоспорт                      widow maker,48 000 /,2
С,,"1,3","1,2",4,"1,5","1,3","0,6",,,
,2012,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	Sandero GT-Line,,98,142,194,"11,8",77,40,класс  B            хэтчбек                 Франция                       10                           1,5200 /,5
У,,"0,9",1,"0,7","1,7","0,7",1,,,
BMW	          320d xDrive Sedan,,184,380,228,"7,4",89,69,класс  C            седан               Германия                       10                           2,13 000 /,4
У,,"1,2","0,9","1,2","1,6",1,1,,,
Chevrolet 	Captiva Sport,,261,336,210,"8,5",59,132,класс  C            внедорожник              США                       10                           2,15 000 /,4
У,,"0,8","0,9","0,7","1,5","0,8",1,,,
Porsche	Cayenne Diesel,,245,550,220,"7,6",72,140,класс D              внедорожник             Германия                       10                         2,21 000 /,4
В,,"0,9","1,2","0,9","1,3","0,8",1,,,
Chevrolet	Corvette Grand Sport,,430,570,289,"4,3",99,26,класс  D            купе              США                       10                          3,23 500 /,3
Г,,1,"1,3","1,4","0,9","1,3","0,7",,,
Ford	             Shelby GT500,,671,855,322,"3,9",96,28,класс  R            купе              США                       10                          3                             muscle car                    widow maker,28 000 /,3
Г,,"1,1","0,8","1,5",1,"1,2","0,8",,,
Porsche	Panamera Turbo,,500,700,303,"4,2",98,74,класс  E            хэтчбек             Германия                       10                        3                            комфорт,28 500 /,3
У,,"1,2",1,"1,3","0,7",1,"0,9",,,
Lamborghini	Gallardo LP 600 GT 3,,600,568,330,"3,5",133,14,класс  R            купе               Италия                    10                             4                         автоспорт,35 000 /,2
Г,,"1,3","1,3","1,6","0,8","1,5","0,6",,,
Ferrari	           FF,,660,683,335,"3,7",109,60,класс  R            хэтчбек               Италия                    10                              3                       комфорт,38 000 /,3
Г,,"1,2","1,1","1,1","0,8","1,3","0,9",,,
Ferrari	         599 XX Evoluzione,,750,700,315,"2,9",164,13,класс   S           купе               Италия                     10                              4                        автоспорт                          widow maker,47 000 /,2
С,,"1,3","1,1",5,"1,9","1,1","0,6",,,
,бета,,,,,,,,,
Renault	              Clio,,90,135,185,"12,2",83,32,класс  B            хэтчбек                 Франция                       10                           1,5300 /,5
У,,"0,9","0,9",1,"2,1",1,"0,8",,,
Ford          	Ranger,,150,375,175,"12,3",45,180,класс C             внедорожник              США                       10                           2,12 900 /,4
В,,1,1,"0,6","1,6","0,7","0,8",,,
Porsche	      Boxster,,265,280,264,"5,8",124,24,класс  D            купе              Германия                       10                           2,16 500 /,4
Г,,1,1,"1,1","1,4","1,3","0,7",,,
Porsche	 Cayenne,,300,400,230,"7,8",72,140,класс  D            внедорожник             Германия                       10                         2,21 000 /,4
В,,1,1,"0,9","1,3","0,8",1,,,
"Chevrolet	Camaro RS ""45th Anniversary""",,400,555,280,"4,9",98,27,класс D             купе              США                       10                          3                             muscle car              коллекция,24 000 /,3
Г,,"1,4","1,2","1,1","1,2",1,"0,7",,,
Chevrolet	 Corvette Z06 Performance Package,,512,637,323,"3,6",109,23,класс E             купе              США                       10                          3,27 900 /,3
Г,,"1,3","1,4","1,6","0,7","0,8","0,7",,,
Chevrolet	        Camaro ZL1,,588,754,307,"4,1",104,25,класс  E            купе              США                       10                          3                             muscle car,29 000 /,3
Г,,"1,4","0,9","1,3",1,"1,2","0,7",,,
Porsche	           911 GT2 RS,,620,700,330,"3,5",111,23,класс  R            купе               Германия                    10                              3                           widow maker,33 000 /,3
Г,,"1,3","1,2","1,7","0,8","1,3","0,7",,,
Lamborghini	Aventador LP 700-4,,700,690,350,3,119,50,класс  S            купе               Италия                     10                              3,38 000 /,3
Г,,"1,2","1,3",4,"1,6","1,5","0,8",,,
Lamborghini	Aventador J,,700,690,335,"3,1",123,50,класс S             купе               Италия                     10                             5                         коллекция,46 000 /,1
Г,,"1,2","1,3",4,"1,6","1,5","0,8",,,
,ГАММА,,,,,,,,,
Ford         	Fiesta Sport S,,120,131,181,"9,8",89,30,класс  B            хэтчбек                 США                     10                           3                        коллекция,8800 /,3
Г,,"0,7","0,8","0,9","1,8","0,9","0,7",,,
Renault	         Koleos,,171,226,188,"10,3",53,132,класс B             внедорожник             Франция                       10                           1,12 800 /,5
У,,"0,8",1,"0,6","1,4","0,8","1,2",,,
Chevrolet	  Camaro,,312,377,260,"6,2",93,27,класс   C           купе              США                       10                           2                            muscle car,18 000 /,4
Г,,"1,5","1,3",1,"1,6","0,8","0,8",,,
Ford               	F-150 Harley-Davidson,,411,449,263,7,52,126,класс D             внедорожник              США                       10                          3                             muscle car,20 000 /,3
Г,,1,"1,4","0,5","1,3","0,8","1,2",,,
Ford	              Shelby GT350,,557,664,290,"4,1",96,28,класс  E            купе              США                       10                          3                             muscle car,24 300 /,3
Г,,1,"1,3","1,3","0,8","1,2","0,8",,,
BMW	            X6 M,,555,680,250,"4,7",71,140,класс  E            внедорожник             Германия                       10                        3,27 000 /,3
У,,1,1,1,"0,6","0,7","1,2",,,
Ford	            Fiesta RS WRC,,300,420,250,"3,8",110,57,класс   D           хэтчбек              США                    10                              5                        автоспорт,29 600 /,1
В,,"1,1","1,2",1,"1,2","1,2",1,,,
Ford	             Mustang Boss 302 Patriot Edition,,444,485,280,"5,1",100,30,класс  D            купе              США                       10                          5                             muscle car                       коллекция,32 000 /,1
Г,,1,"1,3",1,"1,2",1,"0,8",,,
Ferrari	            F12 Berlinetta,,740,690,340,"3,1",128,26,класс S             купе               Италия                     10                              3                          комфорт,39 000 /,3
Г,,"1,2","1,3",4,"1,6","1,7","0,7",,,
"Ford	                 Mustang GT ""Red Tails""",,600,770,301,4,110,28,класс  E            купе              США                   10                             5                         автоспорт                       коллекция                     muscle car,42 500 /,1
Г,,"1,2","1,1","1,3",1,"0,8","0,7",,,
,дельта,,,,,,,,,
Renault	           Wind Gordini,,133,160,201,"9,2",92,27,класс  B            купе                Франция                       10                           2,9500 /,4
У,,1,"0,8",1,"1,7",1,"0,7",,,
Renault	 Fluence GT,,180,300,220,8,87,38,класс B             седан               Франция                       10                           2,11 000 /,4
У,,1,"0,8","1,1","1,5","0,8","0,8",,,
BMW	            X5 xDrive30d,,245,540,210,"7,6",66,143,класс D             внедорожник              Германия                       10                           2,19 000 /,4
В,,1,1,"0,9","1,2","0,8",1,,,
Porsche	 Cayman R,,330,370,282,5,129,22,класс  D            купе              Германия                       10                           2,19 800 /,4
Г,,1,1,"1,1","1,3","1,4","0,7",,,
BMW	             M3 Coupe Competition Edition,,510,650,250,"3,9",115,56,класс  E            седан              Германия                       10                           3,25 000 /,3
Г,,"0,7","0,8","1,5","0,8",1,1,,,
Lamborghini	Gallardo LP 550-2,,551,540,319,4,119,20,класс   E           купе               Италия                    10                              3,27 000 /,3
Г,,"1,2","1,3","1,3","0,9","1,4","0,7",,,
Porsche	           911 GT3 RSR,,500,460,310,"3,3",140,21,класс  R            купе               Германия                    10                              3                        автоспорт,30 000 /,3
С,,1,"1,2","1,8","0,9","1,5","0,6",,,
Lamborghini	Gallardo LP 570-4 Superleggera,,570,540,325,"3,6",126,49,класс R             купе               Италия                    10                              3,31 000 /,3
Г,,"1,3","1,4","1,8","0,9","1,4","0,8",,,
Ford	            Mustang Boss 302 Laguna Seca Edition,,500,553,287,4,117,17,класс  E            купе              США                    10                             5                         автоспорт,40 000 /,1
Г,,1,"1,3","1,3","0,9",1,"0,7",,,
BMW	         M3 GT2 R,,700,580,330,"3,5",127,11,класс  R            купе              Германия                    10                             5                         автоспорт,42 000 /,1
С,,"0,9","1,1","1,1","0,9","1,4","0,6",,,
,2014,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	   Megane,,130,190,200,"9,6",84,36,класс   B           хэтчбек                 Франция                       10                           1,6900 /,5
У,,1,"0,8","0,9","1,8","0,9",1,,,
Renault        	Koleos,,173,360,189,"11,9",55,133,класс C             внедорожник                Франция                       10                           2,12 800 /,4
У,,1,"0,9","0,7","1,8","0,8",1,,,
Ford	               Focus SТ,,249,360,248,"6,5",98,33,класс   C           хэтчбек                 США                       10                           2                             hot hatch,13 300 /,4
Г,,1,"0,9","1,1","1,1",1,"0,8",,,
Renault	Megane RS 275 Trophy-R,,275,360,251,5,111,30,класс   C           хэтчбек                 Франция                       10                          3                             hot hatch                        автоспорт,17 000 /,3
Г,,1,1,"1,1","1,2","0,9","0,7",,,
Ford	               Fiesta R5,,180,224,208,"6,8",113,75,класс  C            хэтчбек                 США                       10                           5                         автоспорт,19 000 /,1
В,,1,"1,3","1,1","1,6","0,8",1,,,
Porsche	           904 Living Legend,,200,177,217,"5,7",139,18,класс  C            купе               Германия                       10                          5                      коллекция,25 000 /,1
Г,,"1,5","1,8","1,4","1,5",1,"0,5",,,
Ford  	Mustang Boss 302S Race Car,,444,515,269,"4,3",107,26,класс   D           купе                  США                      10                            4                         автоспорт,27 000 /,2
Г,,"0,9","1,2","1,2","0,8",1,"0,6",,,
Lamborghini	Huracan LP 610-4,,610,560,324,"3,4",131,48,класс  R            купе               Италия                    10                              3,32 500 /,3
Г,,"1,3","1,3","1,6","0,8","1,5","0,8",,,
Ford	                  Mustang NASCAR Nationwide Series Race Car,,560,700,348,5,100,20,класс   E           купе               США                    10                             5                              автоспорт,36 000 /,1
С,,"1,2","1,2","1,3",1,1,"0,7",,,
Renault	       Sport RS 01,,500,600,340,"2,9",140,9,класс R             купе               Франция                    10                             5                     коллекция                         автоспорт,45 000 /,1
С,,"1,2",1,"1,5",1,"1,6","0,6",,,
Ferrari	             F60 America,,740,690,330,"3,2",120,28,класс  R            купе               Италия                    10                             5                     коллекция,45 000 /,1
Г,,"1,2","1,2",2,1,"1,4","0,6",,,
,бета,,,,,,,,,
Renault	      Captur 1.6,,114,156,166,"12,9",57,98,класс  B            внедорожник                Франция                       10                           1,8400 /,5
У,,"0,9","0,8","0,7","1,9","0,8","1,2",,,
BMW                  120,,218,310,245,"6,4",91,30,класс   C           хэтчбек                 Германия                       10                           1                             hot hatch,12 500 /,5
У,,"1,1","0,9",1,"1,4","0,8","0,8",,,
Citroen	           DS 3 Racing,,202,275,235,"6,5",100,29,класс  C            хэтчбек                 Франция                       10                           2                             hot hatch,13 500 /,4
Г,,"0,9","0,9","1,1","1,2","0,8","0,8",,,
Ford       	Ranger Wildtrak,,200,470,175,"10,4",42,183,класс  C            внедорожник                США                       10                           2,15 600 /,4
В,,1,"1,3","0,6","1,6","0,7","0,8",,,
Chevrolet	 Camaro Hot Wheels Edition,,430,575,288,"4,6",95,27,класс   D           купе                  США                      10                             3                 коллекция                  muscle car,20 700 /,3
Г,,"1,2","0,9",1,"1,1","1,1","0,7",,,
BMW	             X5 xDrive50,,407,600,240,"5,5",66,143,класс   D           внедорожник              Германия                       10                           2,25 000 /,4
В,,"0,9",1,"0,7","0,8","0,8",1,,,
"Chevrolet	Corvette Stingray ""Premiere Edition"" ",,460,599,304,"3,8",107,28,класс  E            купе                  США                      10                            4                        коллекция,27 000 /,2
Г,,"1,3","1,4","1,6","0,9","1,3","0,7",,,
Renault	Megane Trophy,,360,315,270,"3,7",128,10,класс D             хэтчбек               Франция                    10                              5                        автоспорт,31 000 /,1
С,,1,1,"1,2","1,3","1,3","0,6",,,
Porsche	          918 Spyder,,608,500,345,"2,6",145,17,класс   R           купе               Германия                    10                              3,37 000 /,3
Г,,"1,6","1,3","1,8","0,8","1,4","0,6",,,
Ferrari	      Sergio,,605,540,330,3,137,16,класс R             купе               Италия                    10                             5                     коллекция,44 500 /,1
Г,,"1,1","1,1","1,5","0,9","1,5","0,7",,,
Ford	             Shelby GT500 Super Snake,,850,1011,331,"3,8",99,21,класс  R            купе               США                    10                             4                             widow maker                      muscle car                        коллекция,45 500 /,2
Г,,1,1,"1,3","1,5",1,"0,7",,,
,ГАММА,,,,,,,,,
BMW	            114i,,136,220,210,"8,7",91,30,класс   B           хэтчбек                 Германия                       10                           1,9100 /,5
У,,1,"0,8",1,"1,7","0,8","0,8",,,
BMW                  320,,184,270,235,"7,6",90,34,класс  C           седан               Германия                       10                           2,11 700 /,4
У,,"1,2",1,"1,2","1,6",1,"0,8",,,
Renault	         Clio RS 200,,200,240,230,"6,7",101,28,класс  C            хэтчбек                 Франция                       10                           2                             hot hatch,13 700 /,4
Г,,"0,9",1,"1,1","1,3","0,8","0,8",,,
BMW	         528i xDrive,,245,350,250,"6,3",87,75,класс  C            седан              Германия                       10                           2                            комфорт,15 000 /,4
У,,1,"1,2",1,"1,3","0,8",1,,,
Chevrolet	 Camaro Z28,,511,652,284,"4,1",105,27,класс  E            купе                  США                      10                             3                            muscle car,22 700 /,3
Г,,"1,4","0,9","1,4",1,"1,2","0,7",,,
Chevrolet	 Corvette,,437,585,300,"4,4",102,28,класс  E            купе                  США                      10                             3,23 600 /,3
Г,,"1,3","1,4","1,6",1,"1,3","0,7",,,
Chevrolet	         COPO Camaro,,530,711,293,"3,7",90,24,класс E             купе                  США                      10                            4                      muscle car                     widow maker,27 000 /,2
Г,,"1,5","1,2","1,6","1,2","0,8","0,7",,,
Porsche	 Cayenne Turbo S,,570,800,284,"4,1",79,130,класс  R           внедорожник              Германия                       10                        3,30 000 /,3
Г,,1,"1,2","0,8","0,7","0,8","1,4",,,
Renault	   Duster Rally Dakar,,360,503,210,"5,8",60,181,класс  D            внедорожник               Франция                    10                              5                          автоспорт,39 000 /,1
В,,"0,7","1,2","0,6",1,1,1,,,
Porsche	             911 GT3 Cup Andial Edition,,515,449,327,"3,1",158,13,класс   R           купе               Германия                    10                             5                    автоспорт,43 000 /,1
С,,"1,1","1,4","1,8","0,9","1,2","0,6",,,
Lamborghini	Egoista,,600,560,350,"2,5",149,45,класс  S            купе               Италия                    10                             5                     коллекция,46 500 /,1
С,,"1,3","1,3",3,"1,4","1,5","0,7",,,
Ferrari	  LaFerrari,,963,700,350,3,164,10,класс S             купе               Италия                    10                              4,50 000 /,2
Г,,"0,9","1,2",5,2,"1,2","0,6",,,
,дельта,,,,,,,,,
Chevrolet	         Malibu,,200,259,218,"8,5",78,39,класс   B           седан               США                       10                           2                          комфорт,11 000 /,4
У,,"1,1","1,2","1,1","1,5","0,8",1,,,
Chevrolet	                S10,,193,339,180,"10,1",40,119,класс  B            внедорожник                США                       10                           1,11 500 /,5
У,,"0,8","1,3","0,5","1,6","0,8","1,2",,,
Porsche	       Macan,,252,370,229,"6,7",84,120,класс  C            внедорожник                Германия                       10                           2,15 000 /,4
У,,"0,9",1,"0,7","1,1","0,8",1,,,
BMW	            435i,,306,400,250,"4,9",94,32,класс   D           купе               Германия                       10                           2,15 000 /,4
Г,,1,1,"1,2","1,2","1,1","0,8",,,
BMW	         650i xDrive Gran Coupe,,450,650,250,"4,4",91,67,класс   D           купе               Германия                       10                           2                         комфорт,22 800 /,4
Г,,1,"0,8","1,6","0,9","1,2","0,9",,,
Porsche	 Panamera 4S,,420,520,286,5,103,72,класс   D           хэтчбек               Германия                       10                           2                         комфорт,23 300 /,4
Г,,1,"0,8","1,2",1,1,"0,9",,,
BMW	            M3 Coupe Frozen Limited Edition,,449,419,250,"4,5",115,29,класс  D           купе               Германия                       10                         4                     коллекция,27 500 /,2
Г,,"0,8","1,3","1,2","0,8",1,"0,7",,,
Porsche	             911 GT3,,475,440,315,"3,5",134,22,класс  E            купе               Германия                       10                        3,28 000 /,3
Г,,"0,9","1,3","1,5","0,8","1,3","0,7",,,
"Lamborghini	Aventador LP 720-4   ""50 Anniversario""",,720,700,350,"2,9",122,50,класс   S           купе               Италия                    10                             4                     коллекция,40 000 /,2
Г,,"1,2","1,3",4,"1,6","1,5","0,8",,,
Lamborghini	   5-95,,570,540,325,"3,4",125,49,класс  R            купе               Италия                    10                             5                     коллекция,42 500 /,1
Г,,"1,3","1,4","1,8","0,9","1,4","0,8",,,
Lamborghini	Veneno,,750,690,355,"2,9",127,48,класс S             купе               Италия                    10                             5                     коллекция,47 500 /,1
Г,,"1,2","1,3",4,"1,7","1,5","0,8",,,
,2016,,,,,,,,,
,АЛЬФА,,,,,,,,,
Chevrolet	            Spark,,67,93,143,"17,5",71,30,класс              хэтчбек                 США                       10                           1,3700 /,5
У,,"0,8","0,9","0,8","2,5","0,8","0,8",,,
Renault	         Kadjar,,130,205,192,"10,1",55,105,класс              внедорожник                Франция                       10                           1,10 500 /,5
У,,"0,9","1,2","0,6","1,6","0,7","1,1",,,
BMW	        220d,,184,380,230,"7,2",97,30,класс              купе                Германия                      10                           1,12 100 /,5
У,,1,"1,1","1,3","1,6","0,9","0,8",,,
Ford	           Mustang GT,,421,530,267,"4,8",95,29,класс              купе               США                      10                           2                       muscle car,18 900 /,4
Г,,1,"1,5","1,2","1,3","1,2","0,8",,,
Porsche	  Cayman GT4,,385,420,295,"4,4",133,19,класс              купе                Германия                      10                          3                        автоспорт,20 700 /,3
Г,,"0,9","1,3","1,5","0,9","1,4","0,7",,,
"Porsche             	911 Carrera S ""Martini Racing""",,400,480,295,"4,2",118,28,класс              купе                Германия                      10                          4              коллекция,26 000 /,2
Г,,"1,3","1,7","1,7",1,"1,5","0,6",,,
BMW	          X5 M50d,,381,740,250,"5,3",68,143,класс              внедорожник                Германия                       10                          3,26 000 /,3
У,,"1,1","1,2","0,8","0,7","0,8","1,1",,,
Ford	                  GT,,655,745,354,"3,4",124,20,класс              купе               США                      10                          3                       widow maker,35 000 /,3
Г,,"1,4","1,3",2,"1,3","1,4","0,7",,,
"Lamborghini	Huracan LP 610-4 ""Avio""",,610,560,325,"3,2",138,45,класс              купе                Италия                      10                          4                        коллекция,35 500 /,2
Г,,"1,3","1,3","1,6","0,8","1,5","0,8",,,
Ford         	Shelby Baja 700,,700,812,217,"4,6",53,192,класс              внедорожник                США                      10                          5                        коллекция,45 000 /,1
В,,"1,3","1,3","0,8","0,6",1,"0,8",,,
Ferrari	 Scuderia Corsa 488 GTE,,600,700,327,"3,2",150,11,класс              купе                Италия                      10                          5                        автоспорт,47 000 /,1
С,,"1,3","1,3","1,9","1,3","1,6","0,6",,,
,бета,,,,,,,,,
Ford                 	Ka,,75,145,161,"13,1",77,29,класс              хэтчбек                 США                       10                           1,4000 /,5
У,,"0,8","0,7","0,8","2,2","0,6","0,8",,,
Renault              Captur 2.0,,143,195,180,"11,2",57,126,класс              внедорожник                Франция                       10                           1,10 000 /,5
У,,"0,9",1,"0,7","1,8","0,8","1,1",,,
Ford	             Escape,,180,252,190,10,60,129,класс              внедорожник                США                      10                         2,12 200 /,4
У,,"0,9","1,3","0,6","1,7","0,7","1,1",,,
Porsche	       Macan S,,340,460,254,"5,4",88,117,класс              внедорожник                Германия                       10                          2,18 800 /,4
Г,,"0,8","0,9","0,6","0,8",1,"0,9",,,
Porsche          	911,,370,450,293,"4,4",112,28,класс              купе                Германия                      10                          3,21 500 /,3
Г,,1,"1,5","1,4",1,"1,4","0,7",,,
Porsche	Cayenne S Diesel,,385,850,252,"5,4",79,130,класс              внедорожник                Германия                       10                          3,25 800 /,3
У,,1,"0,8","0,8","0,7","0,8","1,2",,,
Porsche	         911 Carrera 4 GTS,,450,550,306,"3,7",117,56,класс              купе                Германия                      10                          3,27 900 /,3
Г,,"1,1","1,3","1,6","0,7","1,6","0,8",,,
BMW	           Z4 GT3,,515,515,296,"3,6",129,14,класс              купе                Германия                      10                          4                        автоспорт,33 300 /,2
С,,"1,1","1,3","1,5",1,"1,3","0,6",,,
Lamborghini	Huracan GT3,,610,560,327,"3,3",144,10,класс              купе                Италия                      10                          4                        автоспорт,36 000 /,2
С,,"1,3","1,3","1,6","0,8","1,5","0,6",,,
Ferrari	            J 50,,690,765,325,3,147,18,класс              купе                Италия                      10                         5                          коллекция,44 000 /,1
Г,,"1,2","1,2",5,2,"1,5","0,6",,,
Ferrari	            FXX-K,,860,750,341,"2,8",173,10,класс              купе                Италия                      10                          4                        автоспорт,50 000 /,2
С,,"1,1","1,2","5,5","1,9","1,2","0,6",,,
,ГАММА,,,,,,,,,
Renault	           Clio 1.5 D,,90,220,181,"11,9",83,32,класс              хэтчбек                 Франция                       10                           1,5300 /,5
У,,"0,7","1,2","0,8",2,"0,8","0,8",,,
Renault	    Duster 1.6,,114,156,166,"12,5",47,152,класс              внедорожник                 Франция                       10                           1,9300 /,5
В,,"0,8","1,1","0,6","1,6","0,7",1,,,
BMW	            X3 xDrive20d,,190,400,210,"8,1",70,130,класс              внедорожник                Германия                      10                         2,14 000 /,4
В,,"0,8","1,3","0,6","1,5","0,7",1,,,
"Chevrolet 	Silverado LT ""Rally 2 Edition""",,285,413,188,"10,1",49,177,класс              внедорожник                США                       10                           3,16 000 /,3
В,,"1,1","1,5","0,7","1,5","0,8","0,8",,,
"Chevrolet 	Camaro SS ""Commemorative Edition""",,335,385,269,"5,5",105,27,класс              купе               США                      10                           4                       muscle car                    коллекция,22 000 /,2
Г,,"1,4","1,3","1,2","1,3","1,2","0,7",,,
Chevrolet	 Corvette Stingray,,466,630,306,"3,9",110,23,класс              купе               США                      10                          3,25 500 /,3
Г,,"1,3","1,4","1,7","0,9","1,3","0,7",,,
Ford	             Fiesta S2000,,280,288,215,"5,1",115,94,класс             хэтчбек                США                      10                          5                        автоспорт,30 000 /,1
В,,"0,8","1,3","1,2","1,2","1,2","0,9",,,
Chevrolet	 Corvette Z06,,659,881,331,"3,4",113,23,класс              купе               США                      10                          3,33 000 /,3
Г,,"1,1","0,8","1,7",1,"1,3","0,7",,,
Ferrari	             488 GTB,,670,760,330,3,147,19,класс              купе                Италия                      10                          3,37 000 /,3
Г,,"1,2","1,2",5,2,"1,5","0,6",,,
Lamborghini	Centenario,,770,702,350,"2,8",131,45,класс              купе                Италия                      10                         4                          коллекция                  widow maker,43 500 /,2
Г,,"1,2","1,4","4,5","1,8","1,5","0,8",,,
,дельта,,,,,,,,,
Renault	       Megane,,115,156,190,"11,8",84,36,класс              хэтчбек                 Франция                       10                           1,6000 /,5
У,,"0,9","1,1","0,8","2,1","0,8","0,8",,,
Chevrolet	      Malibu,,160,250,215,"8,6",81,38,класс              седан                США                      10                           2                           комфорт,8800 /,4
У,,1,"1,3","0,8","1,5","0,8",1,,,
Chevrolet	      Camaro,,275,400,250,"5,7",98,27,класс              купе               США                      10                           2                       muscle car,15 000 /,4
Г,,"1,3","1,1","1,2","1,3","0,9","0,8",,,
Ford         	Mustang,,309,407,259,"5,9",95,29,класс              купе               США                      10                           2                       muscle car,15 700 /,4
Г,,"1,1","1,5","1,2","1,5","1,2","0,8",,,
Ford 	Expedition King Ranch,,420,570,235,7,43,144,класс              внедорожник                США                       10                           2                   комфорт,22 800 /,4
В,,"1,2","1,4","0,9","1,3",1,1,,,
Chevrolet	  Corvette,,461,624,292,4,107,25,класс              купе               США                      10                          3,25 000 /,3
Г,,"1,3","1,4","1,7","0,9","1,3","0,7",,,
Citroen	        DS 3 WRC,,300,350,240,4,118,63,класс             хэтчбек                Франция                      10                          5                        автоспорт,31 000 /,1
В,,"0,9","1,2","1,1",1,"1,2","0,8",,,
Ferrari	 California T,,560,755,316,"3,6",110,26,класс              купе                Италия                      10                          3                        комфорт,32 500 /,3
Г,,"1,3",1,"1,6",1,"1,5","0,7",,,
Lamborghini	Aventador V LP 740,,740,690,350,"2,9",124,50,класс              купе                Италия                      10                          3,38 000 /,3
Г,,"1,2","1,3",4,"1,7","1,5","0,8",,,
Lamborghini	Aventador LP 750-4 Super Veloce,,750,690,344,"2,9",127,48,класс              купе                Италия                      10                         4                          коллекция,40 000 /,2
Г,,"1,2","1,3",4,"1,7","1,5","0,8",,,
,2018,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford                 	Ka,,85,112,169,"13,3",79,29,класс   A           хэтчбек                 США                       10                           1,4000 /,5
У,,"0,8","0,8","0,8","2,2","0,6","0,8",,,
Renault	       Koleos,,144,200,187,"11,3",57,130,класс   B           внедорожник                 Франция                       10                        2,10 900 /,4
В,,"0,9","1,1","0,7","1,5","0,8",1,,,
Renault	         Kadjar,,163,240,205,"9,2",55,105,класс B             внедорожник                Франция                       10                           2,12 100 /,4
У,,"0,9","1,2","0,6","1,6","0,7","1,1",,,
Porsche          	718 Cayman,,300,380,275,"5,1",130,24,класс D             купе                Германия                       10                           2,17 000 /,4
Г,,1,"1,3","1,3","1,3","1,4","0,7",,,
BMW	            M4,,431,550,250,"4,1",119,27,класс   D           купе                Германия                       10                           2,18 000 /,4
Г,,1,"0,9","1,6",1,"1,3","0,7",,,
BMW                     X6 xDrive50i,,450,650,250,"4,8",71,141,класс  E            внедорожник                Германия                       10                           2,27 000 /,4
В,,"1,3","1,1",1,"0,8","0,8",1,,,
Porsche	Panamera Turbo,,550,770,306,"3,8",104,74,класс  R            хэтчбек                Германия                       10                           3                  комфорт,29 000 /,3
Г,,"1,3",1,"1,5",1,1,1,,,
Porsche	               911 RSR,,510,471,318,"3,5",150,17,класс  R            купе                Германия                       10                          4                 автоспорт,35 500 /,2
С,,"1,3","1,3",2,"1,3","1,3","0,6",,,
Ferrari	           GTC 4 Lusso T,,690,697,335,"3,4",111,58,класс   R           хэтчбек               Италия                       10                           3                  комфорт,36 000 /,3
Г,,1,"0,9",1,1,"1,3","0,9",,,
"Lamborghini	Aventador S ""Opera Unica""",,740,690,350,"2,9",125,50,класс   S           купе               Италия                       10                           5                         коллекция,43 000 /,1
Г,,"1,2","1,3",4,"1,7","1,5","0,8",,,
Ford	            Mustang NASCAR Nationwide Series Race Car,,650,710,345,"3,6",120,13,класс R             купе               США                       10                           5                        автоспорт,44 000 /,1
